,Starters,Date,MP_x,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,MP_y,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg
6,Deyonta Davis,2016-11-01,26:09,7,8,.875,0,0,,3,5,.600,1,5,6,0,0,2,1,2,17,-9,26:09,.833,.875,.000,.625,3.8,27.0,13.4,0.0,0.0,6.3,8.9,19.1,149,121
7,Tony Allen,2016-11-01,18:39,2,7,.286,0,0,,0,0,,4,0,4,0,2,0,1,2,4,-12,18:39,.286,.286,.000,.000,21.4,0.0,12.6,0.0,5.3,0.0,12.5,19.1,72,119
8,Vince Carter,2016-11-01,14:23,2,7,.286,1,5,.200,0,0,,0,4,4,1,2,0,0,1,5,+2,14:23,.357,.357,.714,.000,0.0,39.3,16.3,16.4,6.8,0.0,0.0,21.7,80,107
9,Troy Daniels,2016-11-01,12:00,0,5,.000,0,4,.000,0,0,,0,0,0,1,0,0,0,0,0,+2,12:00,.000,.000,.800,.000,0.0,0.0,0.0,14.8,0.0,0.0,0.0,18.6,10,131
10,Zach Randolph,2016-11-01,10:04,1,6,.167,0,1,.000,0,0,,0,2,2,0,0,0,1,2,2,-22,10:04,.167,.167,.167,.000,0.0,28.0,11.6,0.0,0.0,0.0,14.3,31.0,30,125
11,Marc Gasol,2016-11-01,Did Not Play,,,,,,,,,,,,,,,,,,,,Did Not Play,,,,,,,,,,,,,,
12,Mike Conley,2016-11-01,Did Not Play,,,,,,,,,,,,,,,,,,,,Did Not Play,,,,,,,,,,,,,,
0,Gorgui Dieng,2016-11-01,33:38,8,9,.889,0,0,,1,2,.500,1,5,6,2,3,2,2,3,17,+35,33:38,.860,.889,.000,.222,4.2,14.9,10.4,9.0,4.4,5.6,16.8,15.5,139,75
1,Karl-Anthony Towns,2016-11-01,29:58,4,10,.400,0,0,,3,4,.750,2,9,11,4,0,1,3,1,11,+39,29:58,.468,.400,.000,.400,9.4,30.0,21.5,17.5,0.0,3.1,20.3,21.7,99,82
2,Zach LaVine,2016-11-01,29:14,11,18,.611,5,9,.556,4,4,1.000,0,4,4,2,0,0,3,2,31,+28,29:14,.784,.750,.500,.222,0.0,13.7,8.0,13.2,0.0,0.0,13.2,34.2,132,88
3,Andrew Wiggins,2016-11-01,29:14,6,11,.545,2,2,1.000,3,5,.600,1,2,3,4,0,1,3,3,17,+38,29:14,.644,.636,.182,.455,4.8,6.8,6.0,19.8,0.0,3.2,18.5,24.4,116,88
4,Kris Dunn,2016-11-01,29:10,3,7,.429,2,3,.667,2,2,1.000,1,3,4,6,5,0,3,3,10,+26,29:10,.635,.571,.429,.286,4.8,10.3,8.0,25.9,8.4,0.0,27.6,16.4,118,71
5,Tyus Jones,2016-11-01,18:50,1,3,.333,0,1,.000,0,0,,0,2,2,6,1,0,1,1,2,+10,18:50,.333,.333,.333,.000,0.0,10.6,6.2,37.8,2.6,0.0,25.0,9.3,116,84
6,Brandon Rush,2016-11-01,18:46,3,6,.500,2,3,.667,1,2,.500,0,1,1,1,0,1,2,0,9,+8,18:46,.654,.667,.500,.333,0.0,5.3,3.1,7.2,0.0,5.0,22.5,20.8,100,87
7,Shabazz Muhammad,2016-11-01,18:46,2,6,.333,0,0,,4,4,1.000,2,2,4,1,0,0,0,0,8,-2,18:46,.515,.333,.000,.667,15.0,10.7,12.5,6.8,0.0,0.0,0.0,18.2,135,89
8,Nemanja Bjelica,2016-11-01,18:02,2,4,.500,1,2,.500,0,0,,1,7,8,2,1,0,1,3,5,-3,18:02,.625,.625,.500,.000,7.8,38.8,26.0,14.1,2.7,0.0,20.0,12.2,121,75
9,Cole Aldrich,2016-11-01,9:52,1,1,1.000,0,0,,0,0,,0,4,4,1,0,0,1,3,2,-1,9:52,1.000,1.000,.000,.000,0.0,40.5,23.7,12.8,0.0,0.0,50.0,8.9,100,80
10,Jordan Hill,2016-11-01,4:30,2,3,.667,0,0,,0,0,,2,1,3,0,0,0,2,3,4,+2,4:30,.667,.667,.000,.000,62.7,22.2,39.0,0.0,0.0,0.0,40.0,48.9,87,84
11,Adreian Payne,2016-11-01,Did Not Play,,,,,,,,,,,,,,,,,,,,Did Not Play,,,,,,,,,,,,,,
12,John Lucas III,2016-11-01,Did Not Play,,,,,,,,,,,,,,,,,,,,Did Not Play,,,,,,,,,,,,,,
0,Giannis Antetokounmpo,2016-11-01,33:50,10,19,.526,1,6,.167,3,4,.750,3,6,9,7,1,2,2,5,24,+10,33:50,.578,.553,.316,.211,9.7,18.1,14.0,33.3,1.4,5.1,8.8,28.0,122,109
1,Tony Snell,2016-11-01,33:27,5,12,.417,3,9,.333,0,0,,1,9,10,2,0,0,1,2,13,+12,33:27,.542,.542,.750,.000,3.3,27.5,15.8,7.8,0.0,0.0,7.7,16.2,108,113
2,Jabari Parker,2016-11-01,29:17,7,14,.500,0,1,.000,7,7,1.000,1,1,2,0,0,0,1,1,21,-5,29:17,.615,.500,.071,.500,3.7,3.5,3.6,0.0,0.0,0.0,5.5,25.7,124,119
3,Matthew Dellavedova,2016-11-01,28:57,4,8,.500,2,4,.500,1,1,1.000,0,4,4,8,2,0,1,3,11,-8,28:57,.652,.625,.500,.125,0.0,14.1,7.3,35.5,3.3,0.0,10.6,13.6,139,109
4,Miles Plumlee,2016-11-01,14:05,0,2,.000,0,0,,3,4,.750,0,3,3,1,0,1,2,3,3,+1,14:05,.399,.000,.000,2.000,0.0,21.8,11.2,7.7,0.0,6.1,34.7,17.0,64,110
5,Malcolm Brogdon,2016-11-01,23:44,6,10,.600,1,2,.500,1,1,1.000,1,1,2,4,4,0,3,1,14,+9,23:44,.670,.650,.200,.100,4.6,4.3,4.4,25.4,7.9,0.0,22.3,23.6,111,102
6,Greg Monroe,2016-11-01,17:34,2,6,.333,0,0,,2,2,1.000,4,8,12,6,0,1,2,4,6,+1,17:34,.436,.333,.000,.333,24.8,46.5,36.0,42.5,0.0,4.9,22.5,21.1,114,105
7,Rashad Vaughn,2016-11-01,17:17,2,4,.500,1,3,.333,0,0,,0,1,1,0,1,1,0,1,5,-9,17:17,.625,.625,.750,.000,0.0,5.9,3.1,0.0,2.7,5.0,0.0,9.6,123,109
8,John Henson,2016-11-01,16:21,0,0,,0,0,,0,0,,1,4,5,1,1,0,2,4,0,+2,16:21,,,,,6.7,25.0,16.1,6.7,2.9,0.0,100.0,5.1,50,107
9,Michael Beasley,2016-11-01,12:48,5,9,.556,0,1,.000,2,2,1.000,0,1,1,0,0,0,1,1,12,-5,12:48,.607,.556,.111,.222,0.0,8.0,4.1,0.0,0.0,0.0,9.2,35.4,108,118
10,Mirza Teletovic,2016-11-01,12:40,3,7,.429,2,6,.333,0,0,,0,0,0,1,0,0,0,0,8,+12,12:40,.571,.571,.857,.000,0.0,0.0,0.0,11.6,0.0,0.0,0.0,23.0,118,120
11,Jason Terry,2016-11-01,Did Not Play,,,,,,,,,,,,,,,,,,,,Did Not Play,,,,,,,,,,,,,,
12,Thon Maker,2016-11-01,Did Not Play,,,,,,,,,,,,,,,,,,,,Did Not Play,,,,,,,,,,,,,,
0,Dante Cunningham,2016-11-01,38:17,1,9,.111,1,4,.250,1,2,.500,1,4,5,1,1,0,0,2,4,-14,38:17,.202,.167,.444,.222,2.7,11.4,6.9,3.6,1.2,0.0,0.0,11.0,57,120
1,Anthony Davis,2016-11-01,37:10,9,21,.429,0,3,.000,17,18,.944,3,12,15,2,3,3,1,2,35,+3,37:10,.605,.429,.143,.857,8.2,35.2,21.3,10.6,3.8,6.6,3.3,34.2,130,104
2,Tim Frazier,2016-11-01,36:48,7,12,.583,1,3,.333,5,6,.833,1,2,3,9,3,1,3,4,20,+2,36:48,.683,.625,.250,.500,2.8,5.9,4.3,43.7,3.8,2.2,17.0,20.4,128,114
3,Solomon Hill,2016-11-01,35:41,5,9,.556,3,4,.750,5,8,.625,1,5,6,4,2,0,0,3,18,+8,35:41,.719,.722,.444,.889,2.9,15.3,8.9,18.4,2.6,0.0,0.0,14.9,152,116
4,E'Twaun Moore,2016-11-01,35:30,7,13,.538,3,6,.500,0,0,,0,0,0,3,0,0,1,2,17,+9,35:30,.654,.654,.462,.000,0.0,0.0,0.0,15.3,0.0,0.0,7.1,16.7,121,126
5,Lance Stephenson,2016-11-01,15:12,1,3,.333,0,0,,0,0,,0,3,3,3,0,0,2,1,2,-12,15:12,.333,.333,.000,.000,0.0,21.5,10.4,28.8,0.0,0.0,40.0,14.0,64,120
6,Buddy Hield,2016-11-01,13:49,4,10,.400,1,6,.167,1,1,1.000,0,0,0,0,1,0,4,0,10,-11,13:49,.479,.450,.600,.100,0.0,0.0,0.0,0.0,3.4,0.0,27.7,44.4,63,118
7,Omer Asik,2016-11-01,13:13,1,3,.333,0,0,,3,6,.500,2,5,7,1,1,1,1,1,5,+6,13:13,.443,.333,.000,2.000,15.5,41.3,27.9,11.2,3.6,6.2,15.1,21.3,99,103
8,Langston Galloway,2016-11-01,8:19,0,0,,0,0,,0,0,,0,1,1,0,1,0,1,1,0,-6,8:19,,,,,0.0,13.1,6.3,0.0,5.7,0.0,100.0,5.1,0,110
9,Alexis Ajinca,2016-11-01,6:01,1,2,.500,0,0,,0,0,,1,1,2,0,1,0,0,1,2,-5,6:01,.500,.500,.000,.000,17.0,18.1,17.5,0.0,7.8,0.0,0.0,14.1,120,104
10,Jrue Holiday,2016-11-01,Not With Team,,,,,,,,,,,,,,,,,,,,Not With Team,,,,,,,,,,,,,,
11,Terrence Jones,2016-11-01,Did Not Play,,,,,,,,,,,,,,,,,,,,Did Not Play,,,,,,,,,,,,,,
12,Cheick Diallo,2016-11-01,Did Not Play,,,,,,,,,,,,,,,,,,,,Did Not Play,,,,,,,,,,,,,,
0,Elfrid Payton,2016-11-01,38:09,8,17,.471,1,3,.333,1,3,.333,0,3,3,10,2,1,2,0,18,+19,38:09,.491,.500,.176,.176,0.0,11.1,4.7,39.4,2.7,2.1,9.8,23.1,106,106
1,Evan Fournier,2016-11-01,37:13,6,17,.353,3,6,.500,2,2,1.000,0,5,5,5,1,0,2,2,17,+11,37:13,.475,.441,.353,.118,0.0,19.0,8.0,18.8,1.4,0.0,10.1,23.2,97,109
2,Serge Ibaka,2016-11-01,32:13,8,12,.667,1,2,.500,4,4,1.000,2,2,4,0,0,2,0,3,21,+8,32:13,.763,.708,.167,.333,6.3,8.8,7.4,0.0,0.0,4.9,0.0,18.6,157,109
3,Aaron Gordon,2016-11-01,31:38,3,10,.300,0,4,.000,1,1,1.000,1,1,2,4,3,0,2,1,7,+11,31:38,.335,.300,.400,.100,3.2,4.5,3.7,16.2,4.8,0.0,16.1,17.1,77,104
4,Nikola Vucevic,2016-11-01,31:25,11,16,.688,0,0,,2,3,.667,5,9,14,4,1,1,1,4,24,+21,31:25,.693,.688,.000,.188,16.3,40.4,26.4,24.3,1.6,2.5,5.5,25.3,140,102
5,Bismack Biyombo,2016-11-01,20:36,0,1,.000,0,0,,2,2,1.000,4,4,8,2,0,1,1,4,2,-9,20:36,.532,.000,.000,2.000,19.8,27.4,23.0,11.1,0.0,3.8,34.7,6.1,131,107
6,D.J. Augustin,2016-11-01,12:30,4,10,.400,1,6,.167,0,0,,0,0,0,1,0,0,0,0,9,-12,12:30,.450,.450,.600,.000,0.0,0.0,0.0,14.4,0.0,0.0,0.0,34.8,94,115
7,Mario Hezonja,2016-11-01,12:11,1,4,.250,0,1,.000,0,0,,0,1,1,1,0,0,2,0,2,-17,12:11,.250,.250,.250,.000,0.0,11.6,4.9,10.4,0.0,0.0,33.3,21.4,41,113
8,Jeff Green,2016-11-01,11:45,1,5,.200,0,2,.000,0,0,,0,2,2,0,0,1,0,1,2,-16,11:45,.200,.200,.400,.000,0.0,24.0,10.1,0.0,0.0,6.7,0.0,18.5,45,105
9,C.J. Watson,2016-11-01,8:27,0,0,,0,0,,1,2,.500,0,0,0,1,0,0,0,0,1,+3,8:27,.568,,,,0.0,0.0,0.0,13.5,0.0,0.0,0.0,4.5,143,115
10,C.J. Wilcox,2016-11-01,3:52,0,1,.000,0,1,.000,0,0,,0,0,0,1,0,0,0,0,0,-9,3:52,.000,.000,1.000,.000,0.0,0.0,0.0,29.6,0.0,0.0,0.0,11.2,51,115
11,Stephen Zimmerman,2016-11-01,Did Not Play,,,,,,,,,,,,,,,,,,,,Did Not Play,,,,,,,,,,,,,,
12,Damjan Rudez,2016-11-01,Did Not Play,,,,,,,,,,,,,,,,,,,,Did Not Play,,,,,,,,,,,,,,
0,Sergio Rodriguez,2016-11-01,31:59,5,11,.455,2,5,.400,0,0,,0,5,5,11,0,0,4,2,12,+4,31:59,.545,.545,.455,.000,0.0,16.0,9.3,50.8,0.0,0.0,26.7,21.8,104,113
1,Dario Saric,2016-11-01,31:29,9,14,.643,3,3,1.000,0,0,,1,2,3,1,1,0,3,2,21,+5,31:29,.750,.750,.214,.000,4.5,6.5,5.6,5.8,1.6,0.0,17.6,25.2,112,112
2,Gerald Henderson,2016-11-01,31:29,7,13,.538,0,0,,4,5,.800,1,3,4,1,1,0,1,1,18,-3,31:29,.592,.538,.000,.385,4.5,9.7,7.5,5.2,1.6,0.0,6.2,24.0,116,111
3,Robert Covington,2016-11-01,27:49,0,6,.000,0,4,.000,0,0,,0,5,5,1,3,2,1,3,0,-6,27:49,.000,.000,.667,.000,0.0,18.4,10.7,4.3,5.5,5.1,14.3,11.7,11,96
4,Joel Embiid,2016-11-01,24:52,6,12,.500,0,1,.000,6,9,.667,3,7,10,3,0,4,4,2,18,+5,24:52,.564,.500,.083,.750,17.0,28.7,23.8,20.4,0.0,11.4,20.0,37.4,102,100
5,Hollis Thompson,2016-11-01,28:11,8,10,.800,4,4,1.000,2,2,1.000,1,6,7,1,0,1,0,2,22,+6,28:11,1.011,1.000,.400,.200,5.0,21.7,14.7,6.5,0.0,2.5,0.0,18.0,193,109
6,Richaun Holmes,2016-11-01,23:09,3,6,.500,0,0,,0,0,,1,6,7,2,0,1,2,2,6,-7,23:09,.500,.500,.000,.000,6.1,26.5,17.9,12.3,0.0,3.0,25.0,16.1,87,107
7,Nik Stauskas,2016-11-01,21:46,1,6,.167,0,2,.000,0,0,,0,0,0,1,0,0,0,3,2,-20,21:46,.167,.167,.333,.000,0.0,0.0,0.0,5.8,0.0,0.0,0.0,12.8,47,117
8,T.J. McConnell,2016-11-01,15:59,1,3,.333,0,1,.000,0,0,,0,1,1,7,0,0,0,3,2,-6,15:59,.333,.333,.333,.000,0.0,6.4,3.7,56.8,0.0,0.0,0.0,8.7,138,115
9,Timothe Luwawu-Cabarrot,2016-11-01,3:16,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,+12,3:16,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,118
10,Jahlil Okafor,2016-11-01,Did Not Play,,,,,,,,,,,,,,,,,,,,Did Not Play,,,,,,,,,,,,,,
11,Ersan Ilyasova,2016-11-01,Not With Team,,,,,,,,,,,,,,,,,,,,Not With Team,,,,,,,,,,,,,,
0,Kevin Durant,2016-11-01,30:43,9,15,.600,0,3,.000,2,3,.667,1,4,5,2,4,1,2,3,20,+13,30:43,.613,.600,.200,.200,4.7,14.2,10.1,8.7,5.9,3.3,10.9,24.9,112,91
1,Klay Thompson,2016-11-01,30:13,6,17,.353,0,7,.000,2,2,1.000,2,3,5,4,0,0,2,4,14,+4,30:13,.391,.353,.412,.118,9.6,10.8,10.3,15.7,0.0,0.0,10.1,27.4,90,107
2,Draymond Green,2016-11-01,30:01,2,3,.667,1,2,.500,1,2,.500,0,8,8,9,3,2,0,2,6,+24,30:01,.773,.833,.667,.667,0.0,29.1,16.6,30.8,4.6,6.8,0.0,5.4,184,89
3,Stephen Curry,2016-11-01,29:30,10,21,.476,5,10,.500,3,4,.750,1,3,4,3,1,0,4,3,28,+24,29:30,.615,.595,.476,.190,4.9,11.1,8.5,14.5,1.5,0.0,14.9,37.8,105,104
4,Zaza Pachulia,2016-11-01,18:51,2,3,.667,0,0,,1,2,.500,1,5,6,2,0,0,0,0,5,+2,18:51,.644,.667,.000,.667,7.7,28.9,19.8,11.3,0.0,0.0,0.0,8.6,151,105
5,Ian Clark,2016-11-01,25:20,8,8,1.000,3,3,1.000,3,3,1.000,0,2,2,1,3,0,1,2,22,+18,25:20,1.180,1.188,.375,.375,0.0,8.6,4.9,5.4,5.4,0.0,9.7,17.0,200,95
6,Andre Iguodala,2016-11-01,24:14,4,7,.571,1,1,1.000,2,3,.667,0,5,5,5,0,0,1,1,11,+39,24:14,.661,.643,.143,.429,0.0,22.5,12.9,23.5,0.0,0.0,10.7,16.0,133,106
7,Shaun Livingston,2016-11-01,18:09,2,3,.667,0,0,,2,2,1.000,0,1,1,5,2,0,3,2,6,-5,18:09,.773,.667,.000,.667,0.0,6.0,3.4,29.6,5.0,0.0,43.6,15.8,109,97
8,David West,2016-11-01,10:56,2,3,.667,0,0,,0,0,,0,4,4,3,1,1,0,0,4,+26,10:56,.667,.667,.000,.000,0.0,39.9,22.8,32.0,4.2,9.3,0.0,11.4,157,86
9,James Michael McAdoo,2016-11-01,8:51,2,3,.667,0,0,,1,2,.500,0,1,1,0,0,0,0,0,5,-11,8:51,.644,.667,.000,.667,0.0,12.3,7.0,0.0,0.0,0.0,0.0,18.3,126,108
10,Kevon Looney,2016-11-01,7:42,1,3,.333,0,0,,0,0,,2,2,4,1,0,0,1,2,2,-10,7:42,.333,.333,.000,.000,37.8,28.3,32.4,14.2,0.0,0.0,25.0,21.7,91,104
11,JaVale McGee,2016-11-01,5:32,2,3,.667,0,0,,0,0,,0,0,0,1,0,0,2,0,4,-9,5:32,.667,.667,.000,.000,0.0,0.0,0.0,26.6,0.0,0.0,40.0,37.7,76,110
12,Anderson Varejao,2016-11-01,Did Not Play,,,,,,,,,,,,,,,,,,,,Did Not Play,,,,,,,,,,,,,,
0,Damian Lillard,2016-11-01,31:34,8,19,.421,4,10,.400,11,13,.846,0,1,1,2,1,0,1,3,31,-29,31:34,.627,.526,.526,.684,0.0,4.6,2.0,12.2,1.4,0.0,3.9,34.5,123,125
1,Al-Farouq Aminu,2016-11-01,29:39,3,11,.273,0,6,.000,0,2,.000,1,9,10,3,3,1,3,1,6,-6,29:39,.253,.273,.545,.182,3.7,44.2,21.0,15.1,4.6,2.6,20.2,21.3,55,112
2,C.J. McCollum,2016-11-01,26:15,6,12,.500,2,5,.400,2,2,1.000,1,3,4,2,1,0,4,2,16,-5,26:15,.621,.583,.417,.167,4.2,16.6,9.5,14.1,1.7,0.0,23.7,27.3,95,123
3,Maurice Harkless,2016-11-01,26:07,3,11,.273,0,3,.000,0,0,,1,1,2,0,0,2,0,1,6,-6,26:07,.273,.273,.273,.000,4.2,5.6,4.8,0.0,0.0,5.8,0.0,17.9,61,123
4,Mason Plumlee,2016-11-01,21:53,3,5,.600,0,0,,0,0,,1,4,5,6,2,0,2,1,6,-11,21:53,.600,.600,.000,.000,5.0,26.6,14.2,43.3,4.2,0.0,28.6,13.6,116,117
5,Evan Turner,2016-11-01,20:57,5,6,.833,1,1,1.000,3,4,.750,0,1,1,2,1,0,3,1,14,-36,20:57,.902,.917,.167,.667,0.0,6.9,3.0,17.9,2.2,0.0,27.9,21.8,123,123
6,Allen Crabbe,2016-11-01,20:04,1,2,.500,0,1,.000,0,0,,1,0,1,0,1,0,1,2,2,-33,20:04,.500,.500,.500,.000,5.4,0.0,3.1,0.0,2.3,0.0,33.3,6.3,79,124
7,Ed Davis,2016-11-01,15:38,0,4,.000,0,0,,0,0,,1,2,3,1,0,1,0,4,0,-21,15:38,.000,.000,.000,.000,7.0,18.6,12.0,8.3,0.0,4.9,0.0,10.8,34,122
8,Noah Vonleh,2016-11-01,12:16,2,7,.286,2,5,.400,0,0,,0,1,1,0,1,0,1,0,6,-5,12:16,.429,.429,.714,.000,0.0,11.9,5.1,0.0,3.7,0.0,12.5,27.6,70,120
9,Shabazz Napier,2016-11-01,10:07,0,1,.000,0,1,.000,0,0,,0,0,0,1,1,0,2,1,0,+11,10:07,.000,.000,1.000,.000,0.0,0.0,0.0,12.8,4.5,0.0,66.7,12.6,19,119
10,Meyers Leonard,2016-11-01,9:30,0,0,,0,0,,0,0,,0,2,2,3,0,0,1,1,0,+6,9:30,,,,,0.0,30.6,13.1,41.0,0.0,0.0,100.0,4.5,101,125
11,Jake Layman,2016-11-01,8:00,6,8,.750,5,7,.714,0,0,,0,1,1,1,1,0,0,0,17,+10,8:00,1.063,1.063,.875,.000,0.0,18.2,7.8,100.0,5.7,0.0,0.0,42.4,180,115
12,Pat Connaughton,2016-11-01,8:00,0,0,,0,0,,0,0,,0,1,1,2,0,0,0,0,0,+10,8:00,,,,,0.0,18.2,7.8,32.4,0.0,0.0,,0.0,238,127
0,Joe Johnson,2016-11-01,34:17,3,8,.375,2,5,.400,0,0,,0,3,3,5,1,0,1,2,8,+2,34:17,.500,.500,.625,.000,0.0,10.2,5.8,20.7,1.6,0.0,11.1,13.4,107,105
1,Rudy Gobert,2016-11-01,33:22,1,4,.250,0,0,,4,6,.667,2,10,12,1,0,0,2,4,6,+10,33:22,.452,.250,.000,1.500,9.0,35.1,23.6,3.9,0.0,0.0,23.1,13.2,93,105
2,Rodney Hood,2016-11-01,33:02,6,13,.462,4,8,.500,3,3,1.000,0,5,5,1,1,0,1,2,19,+3,33:02,.663,.615,.615,.231,0.0,17.7,10.0,5.0,1.6,0.0,6.5,23.7,118,104
3,George Hill,2016-11-01,32:44,9,13,.692,3,5,.600,1,1,1.000,0,2,2,7,1,0,0,2,22,+7,32:44,.818,.808,.385,.077,0.0,7.2,4.0,41.4,1.6,0.0,0.0,21.0,169,105
4,Derrick Favors,2016-11-01,15:37,3,6,.500,0,0,,0,0,,0,3,3,3,0,1,0,1,6,-6,15:37,.500,.500,.000,.000,0.0,22.5,12.6,32.0,0.0,5.5,0.0,19.6,117,101
5,Trey Lyles,2016-11-01,28:51,6,15,.400,2,7,.286,1,1,1.000,0,7,7,3,0,2,1,2,15,+23,28:51,.486,.467,.467,.067,0.0,28.4,16.0,17.8,0.0,5.9,6.1,29.1,95,99
6,Shelvin Mack,2016-11-01,19:05,6,9,.667,2,2,1.000,0,0,,0,1,1,0,1,0,2,1,14,+14,19:05,.778,.778,.222,.000,0.0,6.1,3.4,0.0,2.8,0.0,18.2,29.5,105,103
7,Joe Ingles,2016-11-01,18:35,3,4,.750,2,3,.667,0,0,,0,1,1,0,1,0,0,3,8,+6,18:35,1.000,1.000,.750,.000,0.0,6.3,3.5,0.0,2.9,0.0,0.0,11.0,179,102
8,Dante Exum,2016-11-01,13:52,1,2,.500,0,1,.000,2,3,.667,0,3,3,2,0,4,3,2,4,+11,13:52,.602,.500,.500,1.500,0.0,25.3,14.2,20.0,0.0,24.7,47.5,23.3,78,79
9,Jeff Withey,2016-11-01,10:35,0,2,.000,0,0,,4,4,1.000,0,2,2,0,0,1,0,1,4,+5,10:35,.532,.000,.000,2.000,0.0,22.1,12.4,0.0,0.0,8.1,0.0,18.2,114,98
10,Raul Neto,2016-11-01,Did Not Play,,,,,,,,,,,,,,,,,,,,Did Not Play,,,,,,,,,,,,,,
11,Boris Diaw,2016-11-01,Did Not Dress,,,,,,,,,,,,,,,,,,,,Did Not Dress,,,,,,,,,,,,,,
12,Joel Bolomboy,2016-11-01,Did Not Play,,,,,,,,,,,,,,,,,,,,Did Not Play,,,,,,,,,,,,,,
0,Kawhi Leonard,2016-11-01,35:47,10,18,.556,5,7,.714,5,5,1.000,0,7,7,2,2,0,2,1,30,-5,35:47,.743,.694,.389,.278,0.0,29.3,12.9,13.7,3.0,0.0,9.0,31.6,128,116
1,LaMarcus Aldridge,2016-11-01,35:12,8,16,.500,0,1,.000,5,5,1.000,0,4,4,1,0,1,0,0,21,-1,35:12,.577,.500,.063,.313,0.0,17.0,7.5,6.2,0.0,3.0,0.0,26.3,115,120
2,Tony Parker,2016-11-01,32:38,3,5,.600,0,0,,0,1,.000,0,3,3,6,0,0,1,3,6,-9,32:38,.551,.600,.000,.200,0.0,13.8,6.0,30.9,0.0,0.0,15.5,10.1,113,124
3,Jonathon Simmons,2016-11-01,29:12,1,7,.143,0,3,.000,0,0,,0,2,2,3,0,0,0,1,2,+5,29:12,.143,.143,.429,.000,0.0,10.3,4.5,15.7,0.0,0.0,0.0,12.2,49,124
4,Pau Gasol,2016-11-01,26:33,4,8,.500,0,1,.000,0,0,,1,7,8,2,0,3,0,3,8,+1,26:33,.500,.500,.125,.000,4.4,39.5,19.8,14.0,0.0,12.1,0.0,15.3,109,110
5,Manu Ginobili,2016-11-01,23:07,1,5,.200,1,3,.333,5,5,1.000,0,1,1,3,1,0,3,0,8,-23,23:07,.556,.300,.600,1.000,0.0,6.5,2.8,20.1,2.3,0.0,29.4,22.5,89,119
6,Patrick Mills,2016-11-01,14:37,4,8,.500,0,4,.000,0,0,,1,0,1,2,1,0,1,1,8,-3,14:37,.500,.500,.500,.000,8.0,0.0,4.5,33.1,3.7,0.0,11.1,31.4,96,116
7,Kyle Anderson,2016-11-01,14:19,0,3,.000,0,1,.000,2,2,1.000,0,1,1,0,1,1,0,0,2,-7,14:19,.258,.000,.333,.667,0.0,10.5,4.6,0.0,3.7,7.5,0.0,13.8,56,108
8,David Lee,2016-11-01,14:04,2,3,.667,0,0,,1,1,1.000,1,1,2,0,1,0,1,3,5,-20,14:04,.727,.667,.000,.333,8.3,10.7,9.3,0.0,3.8,0.0,22.5,16.1,115,115
9,Dewayne Dedmon,2016-11-01,12:16,0,3,.000,0,0,,1,2,.500,1,4,5,0,0,0,1,3,1,-4,12:16,.129,.000,.000,.667,9.5,48.9,26.8,0.0,0.0,0.0,20.5,20.3,37,122
10,Dejounte Murray,2016-11-01,0:45,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-3,0:45,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,124
11,Bryn Forbes,2016-11-01,0:45,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-3,0:45,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,124
12,Nicolas Laprovittola,2016-11-01,0:45,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-3,0:45,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,124
0,D'Angelo Russell,2016-11-02,31:28,9,19,.474,1,3,.333,4,4,1.000,1,3,4,8,2,3,4,1,23,+8,31:28,.554,.500,.158,.211,4.0,11.2,7.7,35.6,3.0,8.6,16.2,33.2,113,110
1,Julius Randle,2016-11-02,28:03,3,7,.429,0,1,.000,3,4,.750,2,4,6,2,1,1,2,4,9,+9,28:03,.514,.429,.143,.571,9.0,16.7,13.0,8.0,1.7,3.2,18.6,16.2,105,115
2,Luol Deng,2016-11-02,26:28,4,11,.364,1,1,1.000,4,4,1.000,3,7,10,2,2,1,1,1,13,+13,26:28,.509,.409,.091,.364,14.3,31.0,23.0,8.9,3.6,3.4,7.3,21.9,120,107
3,Nick Young,2016-11-02,26:07,6,11,.545,3,7,.429,2,2,1.000,0,1,1,2,0,0,1,1,17,+7,26:07,.715,.682,.636,.182,0.0,4.5,2.3,9.9,0.0,0.0,7.8,20.8,140,123
4,Ivica Zubac,2016-11-02,18:42,3,4,.750,0,0,,0,0,,2,2,4,0,1,0,0,4,6,+8,18:42,.750,.750,.000,.000,13.5,12.5,13.0,0.0,2.5,0.0,0.0,9.0,165,116
5,Larry Nance Jr.,2016-11-02,25:30,6,8,.750,0,1,.000,0,0,,1,6,7,1,2,1,1,1,12,+1,25:30,.750,.750,.125,.000,5.0,27.5,16.7,5.1,3.7,3.6,11.1,14.9,137,108
