,Starters,Date,MP_x,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,MP_y,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg
2,Ricky Rubio,2013-10-30,40:07,5,15,.333,1,3,.333,2,2,1.000,2,4,6,11,3,1,4,3,13,-1,40:07,.409,.367,.200,.133,4.9,10.8,7.7,41.1,3.6,1.8,20.1,20.4,93,100
3,Corey Brewer,2013-10-30,39:40,7,11,.636,1,4,.250,1,3,.333,1,2,3,2,3,0,3,2,16,+6,39:40,.649,.682,.364,.273,2.5,5.5,3.9,8.2,3.6,0.0,19.6,15.9,103,103
4,Nikola Pekovic,2013-10-30,29:41,5,11,.455,0,0,,1,1,1.000,1,6,7,0,0,0,2,3,11,+5,29:41,.481,.455,.000,.091,3.3,21.9,12.1,0.0,0.0,0.0,14.9,18.6,85,106
5,Dante Cunningham,2013-10-30,20:12,5,7,.714,0,0,,0,0,,3,3,6,0,0,1,0,2,10,-9,20:12,.714,.714,.000,.000,14.6,16.1,15.3,0.0,0.0,3.6,0.0,14.2,151,105
6,J.J. Barea,2013-10-30,20:01,4,9,.444,1,2,.500,2,2,1.000,1,1,2,4,0,0,1,2,11,+4,20:01,.557,.500,.222,.222,4.9,5.4,5.1,33.7,0.0,0.0,9.2,22.3,119,111
7,Alexey Shved,2013-10-30,15:50,1,5,.200,0,1,.000,0,0,,1,2,3,2,0,0,2,0,2,+3,15:50,.200,.200,.200,.000,6.2,13.7,9.7,17.3,0.0,0.0,28.6,18.2,52,109
8,Ronny Turiaf,2013-10-30,15:30,1,4,.250,0,0,,1,1,1.000,1,2,3,1,1,1,0,3,3,+5,15:30,.338,.250,.000,.250,6.3,14.0,10.0,8.9,3.1,4.7,0.0,11.8,96,97
9,Derrick Williams,2013-10-30,Did Not Play,,,,,,,,,,,,,,,,,,,,Did Not Play,,,,,,,,,,,,,,
10,Gorgui Dieng,2013-10-30,Did Not Play,,,,,,,,,,,,,,,,,,,,Did Not Play,,,,,,,,,,,,,,
11,Shabazz Muhammad,2013-10-30,Did Not Play,,,,,,,,,,,,,,,,,,,,Did Not Play,,,,,,,,,,,,,,
