,Starters,Date,MP_x,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,MP_y,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg
5,Taj Gibson,2013-11-08,29:50,5,13,.385,0,0,,2,4,.500,1,3,4,1,0,1,2,4,12,+14,29:50,.407,.385,.000,.308,4.7,8.9,7.3,5.4,0.0,2.5,11.9,26.2,83,89
6,Kirk Hinrich,2013-11-08,22:22,1,2,.500,0,1,.000,0,0,,0,1,1,2,3,0,0,2,2,-2,22:22,.500,.500,.500,.000,0.0,4.0,2.4,12.0,7.1,0.0,0.0,4.2,135,79
7,Mike Dunleavy,2013-11-08,21:58,4,7,.571,1,1,1.000,0,0,,0,2,2,1,0,0,0,3,9,+8,21:58,.643,.643,.143,.000,0.0,8.1,5.0,7.5,0.0,0.0,0.0,14.9,136,91
8,Nazr Mohammed,2013-11-08,13:37,3,6,.500,0,0,,0,1,.000,2,1,3,1,0,1,1,4,6,+2,13:37,.466,.500,.000,.167,20.7,6.5,12.0,12.9,0.0,5.4,13.4,25.5,97,88
9,Erik Murphy,2013-11-08,3:37,0,1,.000,0,0,,0,0,,0,2,2,0,0,1,1,1,0,+1,3:37,.000,.000,.000,.000,0.0,49.2,30.2,0.0,0.0,20.4,50.0,25.8,0,53
10,Tony Snell,2013-11-08,3:37,0,1,.000,0,0,,0,0,,0,1,1,0,0,0,0,0,0,+1,3:37,.000,.000,.000,.000,0.0,24.6,15.1,0.0,0.0,0.0,0.0,12.9,0,81
11,Marquis Teague,2013-11-08,2:11,0,0,,0,0,,0,0,,0,0,0,1,0,0,1,0,0,+1,2:11,,,,,0.0,0.0,0.0,57.9,0.0,0.0,100.0,21.3,42,97
12,Mike James,2013-11-08,1:25,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-1,1:25,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,97
0,Kevin Durant,2013-11-08,44:00,9,15,.600,2,3,.667,17,19,.895,2,6,8,7,3,1,3,3,37,+6,44:00,.792,.667,.200,1.267,5.1,12.8,9.3,28.1,3.4,1.8,11.4,25.1,158,112
1,Russell Westbrook,2013-11-08,30:05,5,19,.263,1,3,.333,9,10,.900,2,3,5,0,3,0,4,3,20,-10,30:05,.427,.289,.158,.526,7.4,9.4,8.5,0.0,5.0,0.0,14.6,38.2,90,111
2,Thabo Sefolosha,2013-11-08,29:28,3,9,.333,1,6,.167,2,2,1.000,3,4,7,2,0,0,4,1,9,-8,29:28,.455,.389,.667,.222,11.4,12.8,12.1,10.1,0.0,0.0,28.8,19.8,86,121
3,Serge Ibaka,2013-11-08,27:20,5,9,.556,0,1,.000,1,2,.500,4,5,9,2,0,3,0,1,11,-11,27:20,.557,.556,.111,.222,16.3,17.2,16.8,12.4,0.0,8.8,0.0,15.2,142,114
4,Kendrick Perkins,2013-11-08,16:53,0,2,.000,0,0,,0,0,,1,2,3,0,0,2,1,4,0,-15,16:53,.000,.000,.000,.000,6.6,11.1,9.1,0.0,0.0,9.5,33.3,7.5,25,116
5,Steven Adams,2013-11-08,30:31,7,10,.700,0,0,,3,4,.750,5,5,10,3,1,3,0,5,17,+20,30:31,.723,.700,.000,.400,18.3,15.4,16.7,18.2,1.6,7.9,0.0,16.2,168,112
6,Nick Collison,2013-11-08,20:40,3,3,1.000,0,0,,3,3,1.000,0,4,4,1,1,0,0,0,9,+20,20:40,1.042,1.000,.000,1.000,0.0,18.2,9.9,7.7,2.4,0.0,0.0,8.8,219,113
7,Reggie Jackson,2013-11-08,18:15,2,7,.286,0,0,,2,2,1.000,0,6,6,6,0,0,1,1,6,+23,18:15,.381,.286,.000,.286,0.0,30.9,16.8,49.7,0.0,0.0,11.3,20.4,107,113
8,Jeremy Lamb,2013-11-08,16:08,3,6,.500,2,3,.667,2,2,1.000,0,0,0,0,0,0,0,3,10,+17,16:08,.727,.667,.500,.333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.9,162,126
9,Derek Fisher,2013-11-08,6:40,0,2,.000,0,1,.000,0,0,,0,0,0,1,1,0,0,1,0,+3,6:40,.000,.000,.500,.000,0.0,0.0,0.0,19.5,7.5,0.0,0.0,12.6,36,110
10,Perry Jones,2013-11-08,Did Not Play,,,,,,,,,,,,,,,,,,,,Did Not Play,,,,,,,,,,,,,,
11,Hasheem Thabeet,2013-11-08,Did Not Play,,,,,,,,,,,,,,,,,,,,Did Not Play,,,,,,,,,,,,,,
12,Andre Roberson,2013-11-08,Did Not Play,,,,,,,,,,,,,,,,,,,,Did Not Play,,,,,,,,,,,,,,
0,Greg Monroe,2013-11-08,38:53,8,13,.615,0,0,,4,5,.800,10,5,15,3,2,3,2,1,20,+6,38:53,.658,.615,.000,.385,24.2,14.4,19.7,12.7,2.6,5.7,11.6,18.3,141,121
1,Brandon Jennings,2013-11-08,35:25,7,17,.412,4,10,.400,4,6,.667,0,5,5,11,4,0,3,4,22,+4,35:25,.560,.529,.588,.353,0.0,15.8,7.2,50.5,5.7,0.0,13.3,26.5,120,116
2,Josh Smith,2013-11-08,33:10,10,20,.500,3,7,.429,2,3,.667,1,7,8,2,1,1,2,6,25,0,33:10,.586,.575,.350,.150,2.8,23.6,12.3,11.8,1.5,2.2,8.6,29.1,115,121
3,Chauncey Billups,2013-11-08,28:22,1,6,.167,1,5,.200,0,0,,0,5,5,2,2,0,3,1,3,+13,28:22,.250,.250,.833,.000,0.0,19.7,9.0,9.1,3.5,0.0,33.3,13.1,47,120
4,Andre Drummond,2013-11-08,22:41,2,3,.667,0,0,,0,0,,2,1,3,0,1,2,1,4,4,-9,22:41,.667,.667,.000,.000,8.3,4.9,6.8,0.0,2.2,6.5,25.0,7.3,112,126
5,Rodney Stuckey,2013-11-08,23:06,5,7,.714,2,2,1.000,5,7,.714,2,0,2,3,0,0,2,1,17,-18,23:06,.843,.857,.286,1.000,8.1,0.0,4.4,21.8,0.0,0.0,16.6,21.7,147,136
6,Kyle Singler,2013-11-08,22:56,2,9,.222,1,4,.250,0,0,,1,1,2,1,0,0,0,6,5,+4,22:56,.278,.278,.444,.000,4.1,4.9,4.5,6.0,0.0,0.0,0.0,16.3,78,134
7,Will Bynum,2013-11-08,12:35,2,7,.286,0,0,,4,4,1.000,0,1,1,0,0,0,0,1,8,-13,12:35,.457,.286,.000,.571,0.0,8.9,4.1,0.0,0.0,0.0,0.0,28.8,108,132
8,Luigi Datome,2013-11-08,12:22,2,5,.400,0,2,.000,2,2,1.000,0,1,1,0,0,0,0,2,6,-18,12:22,.510,.400,.400,.400,0.0,9.0,4.1,0.0,0.0,0.0,0.0,19.7,116,132
9,Kentavious Caldwell-Pope,2013-11-08,6:37,0,2,.000,0,0,,0,0,,0,0,0,0,0,0,0,1,0,-4,6:37,.000,.000,.000,.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.5,0,136
10,Jonas Jerebko,2013-11-08,3:53,0,2,.000,0,1,.000,0,0,,0,0,0,0,0,0,0,0,0,-10,3:53,.000,.000,.500,.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.3,0,136
11,Tony Mitchell,2013-11-08,Did Not Play,,,,,,,,,,,,,,,,,,,,Did Not Play,,,,,,,,,,,,,,
12,Josh Harrellson,2013-11-08,Did Not Play,,,,,,,,,,,,,,,,,,,,Did Not Play,,,,,,,,,,,,,,
0,Kyle Lowry,2013-11-08,36:43,4,10,.400,2,6,.333,2,2,1.000,2,5,7,8,1,0,2,4,12,+7,36:43,.551,.500,.600,.200,5.9,18.2,11.4,39.1,1.5,0.0,15.5,16.3,123,106
1,DeMar DeRozan,2013-11-08,36:06,2,15,.133,0,1,.000,2,2,1.000,1,4,5,3,1,0,1,1,6,-2,36:06,.189,.133,.067,.133,3.0,14.8,8.3,13.6,1.5,0.0,5.9,21.8,58,107
2,Rudy Gay,2013-11-08,35:13,12,26,.462,2,5,.400,4,4,1.000,2,2,4,0,3,3,2,2,30,+3,35:13,.540,.500,.192,.154,6.2,7.6,6.8,0.0,4.7,7.2,6.7,39.4,111,97
3,Jonas Valanciunas,2013-11-08,34:19,2,6,.333,0,0,,0,0,,3,2,5,0,2,2,2,5,4,+3,34:19,.333,.333,.000,.000,9.5,7.8,8.7,0.0,3.2,4.9,25.0,10.9,68,102
4,Amir Johnson,2013-11-08,34:06,5,8,.625,0,2,.000,2,2,1.000,5,5,10,1,0,0,3,3,12,-11,34:06,.676,.625,.250,.250,16.0,19.6,17.6,5.6,0.0,0.0,25.3,16.2,114,109
5,Tyler Hansbrough,2013-11-08,19:26,1,4,.250,0,0,,2,2,1.000,1,4,5,1,0,0,1,2,4,-5,19:26,.410,.250,.000,.500,5.6,27.4,15.4,8.4,0.0,0.0,17.0,14.1,91,107
6,Landry Fields,2013-11-08,13:38,2,2,1.000,0,0,,1,3,.333,0,2,2,1,0,0,0,1,5,-7,13:38,.753,1.000,.000,1.500,0.0,19.6,8.8,14.1,0.0,0.0,0.0,11.3,151,109
7,Terrence Ross,2013-11-08,11:04,2,4,.500,1,1,1.000,0,0,,0,1,1,0,0,1,0,0,5,-8,11:04,.625,.625,.250,.000,0.0,12.0,5.4,0.0,0.0,7.6,0.0,16.8,134,106
8,Aaron Gray,2013-11-08,6:16,0,1,.000,0,0,,0,0,,1,1,2,2,0,0,3,3,0,-4,6:16,.000,.000,.000,.000,17.4,21.3,19.1,47.9,0.0,0.0,75.0,29.7,31,108
9,D.J. Augustin,2013-11-08,5:46,0,2,.000,0,1,.000,0,0,,0,0,0,0,0,0,0,1,0,-9,5:46,.000,.000,.500,.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.2,0,114
10,Julyan Stone,2013-11-08,3:37,1,1,1.000,1,1,1.000,0,0,,0,0,0,0,0,0,1,0,3,-8,3:37,1.500,1.500,1.000,.000,0.0,0.0,0.0,0.0,0.0,0.0,50.0,25.8,77,114
11,Steve Novak,2013-11-08,1:54,0,1,.000,0,1,.000,0,0,,0,0,0,0,0,0,0,0,0,+3,1:54,.000,.000,1.000,.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.5,0,114
12,Dwight Buycks,2013-11-08,1:52,1,1,1.000,0,0,,1,1,1.000,0,1,1,0,0,0,0,0,3,+3,1:52,1.042,1.000,.000,1.000,0.0,71.4,32.1,0.0,0.0,0.0,0.0,35.9,222,97
0,Paul George,2013-11-08,38:47,7,21,.333,2,8,.250,7,9,.778,2,6,8,6,2,0,3,2,23,-3,38:47,.461,.381,.381,.429,6.9,16.9,12.4,27.2,2.9,0.0,10.7,34.6,100,94
1,Roy Hibbert,2013-11-08,31:26,9,14,.643,0,0,,2,2,1.000,4,3,7,1,0,2,2,0,20,-2,31:26,.672,.643,.000,.143,17.0,10.4,13.4,6.9,0.0,4.8,11.8,25.8,126,101
2,David West,2013-11-08,29:19,4,7,.571,0,0,,1,2,.500,0,5,5,2,1,0,3,3,9,+8,29:19,.571,.571,.000,.286,0.0,18.6,10.2,11.1,1.9,0.0,27.6,17.8,86,95
3,Lance Stephenson,2013-11-08,29:12,2,5,.400,0,2,.000,0,0,,0,2,2,4,1,0,2,3,4,+6,29:12,.400,.400,.400,.000,0.0,7.5,4.1,20.1,1.9,0.0,28.6,11.5,80,100
4,George Hill,2013-11-08,19:25,4,8,.500,3,4,.750,3,3,1.000,1,3,4,2,0,0,1,1,14,+19,19:25,.751,.688,.500,.375,6.9,16.9,12.4,18.9,0.0,0.0,9.7,25.5,144,100
5,C.J. Watson,2013-11-08,28:35,3,8,.375,0,3,.000,0,0,,0,0,0,2,1,0,1,2,6,-12,28:35,.375,.375,.375,.000,0.0,0.0,0.0,10.8,1.9,0.0,11.1,15.1,79,104
6,Luis Scola,2013-11-08,18:30,4,6,.667,0,0,,0,0,,1,3,4,0,0,2,2,3,8,+1,18:30,.667,.667,.000,.000,7.2,17.7,13.0,0.0,0.0,8.2,25.0,20.7,96,95
7,Ian Mahinmi,2013-11-08,16:23,0,1,.000,0,0,,0,0,,1,3,4,0,0,2,1,4,0,+11,16:23,.000,.000,.000,.000,8.1,20.0,14.6,0.0,0.0,9.3,50.0,5.9,31,93
8,Solomon Hill,2013-11-08,14:38,0,1,.000,0,1,.000,0,0,,0,3,3,0,0,0,0,1,0,-5,14:38,.000,.000,1.000,.000,0.0,22.4,12.3,0.0,0.0,0.0,0.0,3.3,0,97
9,Orlando Johnson,2013-11-08,13:34,3,7,.429,1,3,.333,0,0,,0,1,1,3,0,0,0,0,7,+14,13:34,.500,.500,.429,.000,0.0,8.0,4.4,41.8,0.0,0.0,0.0,24.8,120,105
10,Rasual Butler,2013-11-08,0:11,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-2,0:11,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,109
11,Chris Copeland,2013-11-08,Did Not Play,,,,,,,,,,,,,,,,,,,,Did Not Play,,,,,,,,,,,,,,
12,Donald Sloan,2013-11-08,Did Not Play,,,,,,,,,,,,,,,,,,,,Did Not Play,,,,,,,,,,,,,,
0,Shawn Marion,2013-11-08,37:09,5,13,.385,0,1,.000,0,0,,2,5,7,2,3,3,4,2,10,-12,37:09,.385,.385,.077,.000,6.2,15.4,10.8,6.9,4.0,5.6,23.5,19.3,75,114
1,Monta Ellis,2013-11-08,36:43,9,24,.375,1,4,.250,4,4,1.000,2,1,3,3,1,0,3,2,23,-16,36:43,.446,.396,.167,.167,6.2,3.1,4.7,12.2,1.4,0.0,10.4,33.1,98,127
2,Jose Calderon,2013-11-08,33:01,7,11,.636,6,8,.750,1,1,1.000,0,4,4,7,1,0,1,2,21,-14,33:01,.918,.909,.727,.091,0.0,13.8,6.9,30.1,1.5,0.0,8.0,15.9,181,123
3,Dirk Nowitzki,2013-11-08,31:26,5,11,.455,1,4,.250,3,3,1.000,0,3,3,1,1,1,4,2,14,-19,31:26,.568,.500,.364,.273,0.0,10.9,5.5,4.2,1.6,2.2,24.5,21.9,92,123
4,Samuel Dalembert,2013-11-08,12:30,2,3,.667,0,0,,0,0,,3,1,4,0,1,3,2,3,4,-16,12:30,.667,.667,.000,.000,27.4,9.1,18.3,0.0,4.0,16.7,40.0,16.9,96,110
5,Jae Crowder,2013-11-08,32:01,5,10,.500,0,2,.000,0,2,.000,2,4,6,1,0,0,0,0,10,+12,32:01,.460,.500,.200,.200,7.1,14.3,10.7,4.1,0.0,0.0,0.0,14.4,111,126
6,DeJuan Blair,2013-11-08,20:46,4,6,.667,0,0,,0,2,.000,5,4,9,2,2,0,2,4,8,+6,20:46,.581,.667,.000,.333,27.5,22.0,24.8,13.3,4.8,0.0,22.5,18.1,113,112
7,Gal Mekel,2013-11-08,15:25,3,8,.375,0,1,.000,1,2,.500,0,1,1,4,0,0,0,1,7,+10,15:25,.394,.375,.125,.250,0.0,7.4,3.7,35.9,0.0,0.0,0.0,24.3,111,129
8,Wayne Ellington,2013-11-08,13:45,2,2,1.000,2,2,1.000,0,0,,0,1,1,1,0,0,1,2,6,+3,13:45,1.500,1.500,1.000,.000,0.0,8.3,4.2,9.4,0.0,0.0,33.3,9.2,168,128
9,Bernard James,2013-11-08,7:14,2,2,1.000,0,0,,1,1,1.000,0,2,2,0,0,0,0,3,5,+6,7:14,1.025,1.000,.000,.500,0.0,31.6,15.8,0.0,0.0,0.0,0.0,14.3,212,119
10,Ricky Ledo,2013-11-08,Did Not Play,,,,,,,,,,,,,,,,,,,,Did Not Play,,,,,,,,,,,,,,
11,Vince Carter,2013-11-08,Player Suspended,,,,,,,,,,,,,,,,,,,,Player Suspended,,,,,,,,,,,,,,
0,Kevin Martin,2013-11-08,37:40,10,19,.526,3,5,.600,9,10,.900,0,5,5,2,2,0,2,1,32,+14,37:40,.684,.605,.263,.526,0.0,15.2,7.6,9.0,2.7,0.0,7.9,27.9,138,111
1,Corey Brewer,2013-11-08,37:29,7,14,.500,1,3,.333,2,3,.667,1,2,3,4,0,0,2,3,17,+13,37:29,.555,.536,.214,.214,3.0,6.1,4.6,16.0,0.0,0.0,11.5,19.1,115,120
2,Kevin Love,2013-11-08,34:39,12,21,.571,3,6,.500,5,5,1.000,6,9,15,8,0,1,2,2,32,+19,34:39,.690,.643,.286,.238,19.8,29.7,24.7,45.5,0.0,2.0,7.9,30.0,150,111
3,Ricky Rubio,2013-11-08,34:36,2,8,.250,0,0,,2,2,1.000,0,3,3,4,3,0,3,1,6,+13,34:36,.338,.250,.000,.250,0.0,9.9,5.0,14.5,4.3,0.0,25.3,14.2,74,109
4,Nikola Pekovic,2013-11-08,31:19,4,9,.444,0,0,,7,8,.875,4,2,6,0,1,3,2,2,15,+1,31:19,.599,.444,.000,.889,14.6,7.3,10.9,0.0,1.6,6.8,13.8,19.2,124,111
5,Dante Cunningham,2013-11-08,29:36,3,6,.500,0,0,,0,0,,5,2,7,3,1,1,0,2,6,0,29:36,.500,.500,.000,.000,19.3,7.7,13.5,13.5,1.7,2.4,0.0,8.4,149,114
6,J.J. Barea,2013-11-08,16:18,2,8,.250,1,3,.333,0,0,,0,4,4,4,0,0,3,2,5,-6,16:18,.313,.313,.375,.000,0.0,28.0,14.0,33.5,0.0,0.0,27.3,27.9,69,112
7,Robbie Hummel,2013-11-08,10:57,1,3,.333,0,2,.000,0,0,,0,0,0,0,0,0,0,1,2,-9,10:57,.333,.333,.667,.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.3,81,122
8,Alexey Shved,2013-11-08,7:26,0,1,.000,0,1,.000,1,2,.500,0,1,1,1,1,1,0,1,1,-5,7:26,.266,.000,1.000,2.000,0.0,15.4,7.7,15.7,6.7,9.5,0.0,10.4,91,96
9,Derrick Williams,2013-11-08,Did Not Play,,,,,,,,,,,,,,,,,,,,Did Not Play,,,,,,,,,,,,,,
10,Gorgui Dieng,2013-11-08,Did Not Play,,,,,,,,,,,,,,,,,,,,Did Not Play,,,,,,,,,,,,,,
11,A.J. Price,2013-11-08,Did Not Play,,,,,,,,,,,,,,,,,,,,Did Not Play,,,,,,,,,,,,,,
12,Shabazz Muhammad,2013-11-08,Did Not Play,,,,,,,,,,,,,,,,,,,,Did Not Play,,,,,,,,,,,,,,
0,Jodie Meeks,2013-11-08,41:35,4,10,.400,2,5,.400,1,2,.500,1,2,3,0,1,0,0,3,11,-7,41:35,.506,.500,.500,.200,2.3,4.9,3.5,0.0,1.3,0.0,0.0,11.9,106,107
1,Steve Blake,2013-11-08,36:29,4,11,.364,2,5,.400,3,4,.750,0,3,3,8,0,0,5,0,13,-12,36:29,.509,.455,.455,.364,0.0,8.4,4.0,40.9,0.0,0.0,28.2,22.2,87,109
2,Nick Young,2013-11-08,28:27,5,11,.455,1,3,.333,2,2,1.000,1,2,3,0,0,0,3,6,13,-17,28:27,.547,.500,.273,.182,3.3,7.2,5.2,0.0,0.0,0.0,20.2,23.8,87,109
3,Pau Gasol,2013-11-08,27:30,3,12,.250,0,0,,3,4,.750,4,7,11,2,0,1,0,1,9,-16,27:30,.327,.250,.000,.333,13.7,26.0,19.6,13.5,0.0,2.2,0.0,22.8,90,101
4,Chris Kaman,2013-11-08,23:31,7,13,.538,0,0,,2,2,1.000,0,4,4,2,0,2,2,3,16,-8,23:31,.576,.538,.000,.154,0.0,17.4,8.3,24.4,0.0,5.2,12.6,30.7,102,101
5,Jordan Farmar,2013-11-08,22:39,3,9,.333,0,3,.000,4,4,1.000,3,1,4,2,0,0,3,2,10,0,22:39,.465,.333,.333,.444,12.5,4.5,8.6,17.2,0.0,0.0,21.8,27.7,89,110
6,Jordan Hill,2013-11-08,22:17,2,4,.500,0,0,,0,6,.000,2,11,13,1,1,1,0,0,4,-4,22:17,.301,.500,.000,1.500,8.4,50.4,28.6,8.1,2.3,2.8,0.0,13.6,75,89
7,Wesley Johnson,2013-11-08,21:09,1,5,.200,1,3,.333,0,0,,0,5,5,3,0,0,0,2,3,+3,21:09,.300,.300,.600,.000,0.0,24.1,11.6,23.7,0.0,0.0,0.0,10.8,87,104
8,Xavier Henry,2013-11-08,16:23,2,5,.400,0,0,,2,2,1.000,1,1,2,1,0,0,1,1,6,+6,16:23,.510,.400,.000,.400,5.7,6.2,6.0,11.7,0.0,0.0,14.5,19.1,100,109
9,Shawne Williams,2013-11-08,Did Not Play,,,,,,,,,,,,,,,,,,,,Did Not Play,,,,,,,,,,,,,,
10,Ryan Kelly,2013-11-08,Did Not Play,,,,,,,,,,,,,,,,,,,,Did Not Play,,,,,,,,,,,,,,
11,Robert Sacre,2013-11-08,Did Not Play,,,,,,,,,,,,,,,,,,,,Did Not Play,,,,,,,,,,,,,,
12,Steve Nash,2013-11-08,Did Not Play,,,,,,,,,,,,,,,,,,,,Did Not Play,,,,,,,,,,,,,,
0,Jrue Holiday,2013-11-08,39:25,5,15,.333,0,1,.000,3,4,.750,0,5,5,13,4,0,4,2,13,+6,39:25,.388,.333,.067,.267,0.0,11.9,6.2,49.6,5.3,0.0,19.3,24.2,87,89
1,Anthony Davis,2013-11-08,37:10,12,18,.667,0,0,,8,11,.727,4,8,12,3,1,6,2,2,32,+14,37:10,.701,.667,.000,.611,11.0,20.3,15.8,17.2,1.4,12.7,8.1,30.6,135,85
2,Eric Gordon,2013-11-08,31:09,5,11,.455,1,2,.500,5,6,.833,0,6,6,2,2,0,0,1,16,+7,31:09,.587,.500,.182,.545,0.0,18.1,9.4,10.2,3.4,0.0,0.0,20.1,127,91
3,Jason Smith,2013-11-08,29:23,7,12,.583,0,0,,0,0,,2,3,5,0,0,0,0,1,14,+9,29:23,.583,.583,.000,.000,7.0,9.6,8.3,0.0,0.0,0.0,0.0,18.7,120,101
4,Al-Farouq Aminu,2013-11-08,18:30,1,4,.250,0,0,,0,0,,1,1,2,1,0,0,0,3,2,-1,18:30,.250,.250,.000,.000,5.5,5.1,5.3,7.3,0.0,0.0,0.0,9.9,77,102
5,Tyreke Evans,2013-11-08,26:46,3,12,.250,0,1,.000,1,1,1.000,1,6,7,2,3,0,1,2,7,+19,26:46,.281,.250,.083,.083,3.8,21.1,12.8,11.0,5.9,0.0,7.4,23.0,67,84
6,Greg Stiemsma,2013-11-08,18:28,1,2,.500,0,0,,0,0,,2,7,9,0,0,1,1,2,2,+2,18:28,.500,.500,.000,.000,11.1,35.7,23.9,0.0,0.0,4.3,33.3,7.4,91,88
7,Anthony Morrow,2013-11-08,16:44,4,7,.571,2,3,.667,0,0,,0,1,1,0,0,1,0,1,10,0,16:44,.714,.714,.429,.000,0.0,5.6,2.9,0.0,0.0,4.7,0.0,19.2,133,99
8,Brian Roberts,2013-11-08,11:37,0,5,.000,0,2,.000,0,0,,0,0,0,2,0,0,0,6,0,-2,11:37,.000,.000,.400,.000,0.0,0.0,0.0,21.7,0.0,0.0,0.0,19.7,22,102
9,Lance Thomas,2013-11-08,10:22,0,1,.000,0,0,,0,0,,1,2,3,2,0,0,0,2,0,+1,10:22,.000,.000,.000,.000,9.9,18.2,14.2,24.4,0.0,0.0,0.0,4.4,104,97
10,Arinze Onuaku,2013-11-08,0:09,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0,0:09,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,105
11,Jeff Withey,2013-11-08,0:09,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0,0:09,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,105
12,Austin Rivers,2013-11-08,0:08,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0,0:08,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,105
0,Brandon Bass,2013-11-08,36:40,6,14,.429,0,0,,4,4,1.000,3,4,7,1,0,1,0,3,16,0,36:40,.508,.429,.000,.286,6.7,11.1,8.6,5.0,0.0,2.1,0.0,17.6,121,98
1,Jeff Green,2013-11-08,31:51,5,14,.357,0,3,.000,0,1,.000,1,2,3,3,2,0,0,0,10,+10,31:51,.346,.357,.214,.071,2.6,6.4,4.3,17.1,3.1,0.0,0.0,18.5,87,95
2,Jordan Crawford,2013-11-08,30:36,5,13,.385,0,2,.000,3,3,1.000,1,2,3,5,1,0,2,1,13,+11,30:36,.454,.385,.154,.231,2.7,6.7,4.4,30.0,1.6,0.0,12.3,21.8,97,98
3,Avery Bradley,2013-11-08,28:53,5,13,.385,1,2,.500,3,4,.750,3,5,8,1,3,1,2,1,14,+6,28:53,.474,.423,.154,.308,8.5,17.7,12.5,6.5,5.2,2.6,11.9,23.7,97,85
4,Vitor Faverani,2013-11-08,16:31,1,4,.250,1,2,.500,0,0,,2,3,5,1,0,0,1,2,3,+2,16:31,.375,.375,.500,.000,9.9,18.5,13.7,9.3,0.0,0.0,20.0,12.4,84,96
5,Kelly Olynyk,2013-11-08,22:15,4,13,.308,0,1,.000,0,0,,4,2,6,0,0,0,3,5,8,+1,22:15,.308,.308,.077,.000,14.6,9.2,12.2,0.0,0.0,0.0,18.8,29.4,63,99
6,Gerald Wallace,2013-11-08,19:52,1,3,.333,0,2,.000,0,0,,0,6,6,3,1,0,2,5,2,-13,19:52,.333,.333,.667,.000,0.0,30.8,13.7,22.9,2.5,0.0,40.0,10.3,58,84
7,Jared Sullinger,2013-11-08,19:32,2,8,.250,0,1,.000,7,8,.875,3,3,6,4,0,2,1,2,11,-1,19:32,.477,.250,.125,1.000,12.5,15.7,13.9,33.8,0.0,7.8,8.0,26.2,115,93
8,Courtney Lee,2013-11-08,17:24,5,9,.556,0,0,,3,4,.750,2,2,4,0,2,1,0,2,13,-7,17:24,.604,.556,.000,.444,9.4,11.7,10.4,0.0,5.8,4.4,0.0,25.3,132,85
9,Phil Pressey,2013-11-08,15:35,0,4,.000,0,1,.000,1,2,.500,0,2,2,1,2,0,0,2,1,-2,15:35,.102,.000,.250,.500,0.0,13.1,5.8,9.1,6.4,0.0,0.0,12.8,36,85
10,Kris Humphries,2013-11-08,0:51,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,1,0,+3,0:51,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,98
11,Keith Bogans,2013-11-08,Did Not Play,,,,,,,,,,,,,,,,,,,,Did Not Play,,,,,,,,,,,,,,
12,MarShon Brooks,2013-11-08,Did Not Play,,,,,,,,,,,,,,,,,,,,Did Not Play,,,,,,,,,,,,,,
0,Nikola Vucevic,2013-11-08,36:05,6,12,.500,0,0,,2,4,.500,5,8,13,1,0,1,4,3,14,-8,36:05,.509,.500,.000,.333,14.2,18.0,16.3,5.3,0.0,1.6,22.5,20.4,90,94
1,Jameer Nelson,2013-11-08,36:01,4,15,.267,2,9,.222,2,2,1.000,0,3,3,7,1,0,7,3,12,+3,36:01,.378,.333,.600,.133,0.0,6.8,3.8,33.7,1.4,0.0,30.6,26.3,69,98
2,Arron Afflalo,2013-11-08,34:03,8,15,.533,2,5,.400,5,6,.833,0,5,5,1,0,0,3,5,23,+3,34:03,.652,.600,.333,.400,0.0,11.9,6.6,6.5,0.0,0.0,14.5,25.1,116,98
3,Maurice Harkless,2013-11-08,31:16,1,4,.250,0,1,.000,2,3,.667,2,3,5,2,0,1,0,1,4,-1,31:16,.376,.250,.250,.750,6.5,7.8,7.2,9.8,0.0,1.9,0.0,7.1,112,100
4,Jason Maxiell,2013-11-08,27:06,4,6,.667,0,0,,1,5,.200,2,3,5,2,1,1,0,4,9,-4,27:06,.549,.667,.000,.833,7.5,9.0,8.4,13.7,1.8,2.2,0.0,12.5,122,95
5,Victor Oladipo,2013-11-08,23:16,3,12,.250,0,3,.000,3,4,.750,1,3,4,3,1,0,3,4,9,-6,23:16,.327,.250,.250,.333,4.4,10.5,7.8,23.1,2.2,0.0,17.9,29.9,71,95
