,Team Name,Date,MP_x,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,MP_y,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg
13,Charlotte Hornets,2016-11-13,240,36,95,.379,11,29,.379,10,12,.833,10,35,45,23,7,3,5,19,93,,240,.464,.437,.305,.126,19.6,74.5,45.9,63.9,7.6,5.6,4.7,100.0,100.6,108.1
13,Cleveland Cavaliers,2016-11-13,240,39,92,.424,14,38,.368,8,15,.533,12,41,53,25,3,9,9,13,100,,240,.507,.500,.413,.163,25.5,80.4,54.1,64.1,3.2,13.6,8.4,100.0,108.1,100.6
13,Phoenix Suns,2016-11-13,240,46,90,.511,8,24,.333,20,26,.769,8,30,38,27,10,3,13,29,120,,240,.591,.556,.267,.289,18.6,78.9,46.9,58.7,9.5,5.6,11.4,100.0,114.0,126.3
13,Golden State Warriors,2016-11-13,240,45,87,.517,16,33,.485,27,31,.871,8,35,43,32,8,7,16,20,133,,240,.661,.609,.379,.356,21.1,81.4,53.1,71.1,7.6,10.6,13.7,100.0,126.3,114.0
13,Los Angeles Lakers,2016-11-13,240,33,71,.465,8,24,.333,25,30,.833,5,34,39,16,6,5,17,31,99,,240,.588,.521,.338,.423,12.5,79.1,47.0,48.5,6.2,9.4,16.8,100.0,102.5,129.4
13,Minnesota Timberwolves,2016-11-13,240,42,80,.525,13,27,.481,28,42,.667,9,35,44,28,10,4,10,19,125,,240,.635,.606,.338,.525,20.9,87.5,53.0,66.7,10.4,8.5,9.2,100.0,129.4,102.5
13,Orlando Magic,2016-11-13,240,46,86,.535,11,24,.458,16,20,.800,8,30,38,24,4,7,9,20,119,,240,.628,.599,.279,.233,21.1,71.4,47.5,52.2,4.2,10.4,8.7,100.0,123.6,121.5
13,Oklahoma City Thunder,2016-11-13,240,47,92,.511,7,25,.280,16,26,.615,12,30,42,22,4,6,10,19,117,,240,.566,.549,.272,.283,28.6,78.9,52.5,46.8,4.2,9.7,8.8,100.0,121.5,123.6
13,Denver Nuggets,2016-11-13,240,36,91,.396,11,29,.379,22,29,.759,16,43,59,11,4,6,18,25,105,,240,.506,.456,.319,.319,34.8,75.4,57.3,30.6,3.9,8.6,14.8,100.0,103.4,110.3
13,Portland Trail Blazers,2016-11-13,240,39,99,.394,8,29,.276,26,32,.813,14,30,44,21,8,8,7,23,112,,240,.495,.434,.293,.323,24.6,65.2,42.7,53.8,7.9,12.9,5.8,100.0,110.3,103.4
